Date,Confirmed
2020-02-27,1
2020-02-28,2
2020-03-01,5
2020-03-04,6
2020-03-05,11
2020-03-06,17
2020-03-07,27
2020-03-08,32
2020-03-09,38
2020-03-10,49
2020-03-11,66
2020-03-12,86
2020-03-13,112
2020-03-14,147
2020-03-15,201
2020-03-16,262
2020-03-17,321
2020-03-18,374
2020-03-19,461
2020-03-20,548
2020-03-21,628
2020-03-22,688
2020-03-23,753
2020-03-24,801
2020-03-25,874
2020-03-26,943
2020-03-27,1023
2020-03-28,1095
2020-03-29,1158
2020-03-30,1223
2020-03-31,1271
2020-04-01,1360
2020-04-02,1420
2020-04-03,1479
2020-04-04,1572
2020-04-05,1641
2020-04-06,1733
2020-04-07,1790
2020-04-08,1865
2020-04-09,1932
2020-04-10,2035
2020-04-11,2105
2020-04-12,2179
2020-04-13,2245
2020-04-14,2313
2020-04-15,2398
2020-04-16,2519
2020-04-17,2596
2020-04-18,2701
2020-04-19,2783
2020-04-20,2900
2020-04-21,2985
2020-04-22,3061
2020-04-23,3166
2020-04-24,3253
2020-04-25,3355
2020-04-26,3484
2020-04-27,3592
2020-04-28,3736
2020-04-29,3851
2020-04-30,3966
2020-05-01,4182
2020-05-02,4337
2020-05-03,4488
2020-05-04,4643
2020-05-05,4845
2020-05-06,5080
2020-05-07,5246
2020-05-08,5473
2020-05-09,5697
2020-05-10,6043
2020-05-11,6341
2020-05-12,6620
2020-05-13,6915
2020-05-14,7189
2020-05-15,7486
2020-05-16,7781
2020-05-17,8087
2020-05-18,8492
2020-05-19,8909
2020-05-20,9397
2020-05-21,9732
2020-05-22,10142
2020-05-23,10547
2020-05-24,10901
2020-05-25,11351
2020-05-26,11702
2020-05-27,12129
2020-05-28,12523
2020-05-29,12938
2020-05-30,13302
2020-05-31,13699
2020-06-01,14362
2020-06-02,14926
2020-06-03,15453
2020-06-04,15989
2020-06-05,16604
2020-06-06,17155
2020-06-07,17589
2020-06-08,18231
2020-06-09,18834
2020-06-10,19657
2020-06-11,20368
2020-06-12,21000
2020-06-13,21648
2020-06-14,22413
2020-06-15,23275
2020-06-16,24279
2020-06-17,25321
2020-06-18,26652
2020-06-19,28085
2020-06-20,29530
2020-06-21,30540
2020-06-22,31484
2020-06-23,32861
2020-06-24,34076
2020-06-25,35843
2020-06-26,37550
2020-06-27,39983
2020-06-28,41551
2020-06-29,42851
2020-06-30,44718
2020-07-01,46968
2020-07-02,49155
2020-07-03,51746
2020-07-04,53997
2020-07-05,55988
2020-07-06,58366
2020-07-07,60809
2020-07-08,63381
2020-07-09,65925
2020-07-10,69938
2020-07-11,72740
2020-07-12,75592
2020-07-13,78477
2020-07-14,81549
2020-07-15,84660
2020-07-16,88024
2020-07-17,90783
2020-07-18,93900
2020-07-19,97731
2020-07-20,101920
2020-07-21,105994
2020-07-22,110627
2020-07-23,114157
2020-07-24,117786
2020-07-25,121368
2020-07-26,123786
2020-07-27,127684
2020-07-28,130588
2020-07-29,133480
2020-07-30,136094
2020-07-31,138840
2020-08-01,143263
2020-08-02,147449
2020-08-03,150849
2020-08-04,154883
2020-08-05,158981
2020-08-06,162879
2020-08-07,165513
2020-08-08,168609
2020-08-09,171023
2020-08-10,174450
2020-08-11,176870
2020-08-12,179226
2020-08-13,181107
2020-08-14,183020
2020-08-15,186275
2020-08-16,190112
2020-08-17,192929
2020-08-18,195321
2020-08-19,199905
2020-08-20,203097
2020-08-21,205156
2020-08-22,206964
2020-08-23,209365
2020-08-24,211832
2020-08-25,214845
2020-08-26,217220
2020-08-27,219367
2020-08-28,221713
2020-08-29,223640
2020-08-30,225701
2020-08-31,228412
2020-09-01,231212
2020-09-02,233085
2020-09-03,235024
2020-09-04,236759
2020-09-05,238685
2020-09-06,240147
2020-09-07,242257
2020-09-08,244003
2020-09-09,245754
2020-09-10,247821
2020-09-11,249454
2020-09-12,250979
2020-09-13,252189
2020-09-14,253895
2020-09-15,255745
2020-09-16,257282
2020-09-17,258900
2020-09-18,260460
2020-09-19,262259
2020-09-20,263882
2020-09-21,265594
2020-09-22,267001
2020-09-23,268698
2020-09-24,270131
2020-09-25,271601
2020-09-26,273023
2020-09-27,274262
2020-09-28,276120
2020-09-29,277885
2020-09-30,279447
2020-10-01,281432
2020-10-02,283272
2020-10-03,285332
2020-10-04,287107
2020-10-05,289044
2020-10-06,290719
2020-10-07,292455
2020-10-08,294172
2020-10-09,295665
2020-10-10,297390
2020-10-11,298711
2020-10-12,300177
2020-10-13,301784
2020-10-14,303308
2020-10-15,305198
2020-10-16,306828
2020-10-17,308435
2020-10-18,309850
2020-10-19,311633
2020-10-20,313757
2020-10-21,315548
2020-10-22,317486
2020-10-23,319734
2020-10-24,321762
2020-10-25,323354
2020-10-26,325333
2020-10-27,327208
2020-10-28,329200
2020-10-29,330844
2020-10-30,332519
2020-10-31,334205
2020-11-01,335972
2020-11-02,337671
2020-11-03,339580
2020-11-04,341629
2020-11-05,343794
2020-11-06,345566
2020-11-07,347148
2020-11-08,348685
2020-11-09,350539
2020-11-10,352329
2020-11-11,353911
2020-11-12,355505
2020-11-13,357023
2020-11-14,358543
2020-11-15,359992
2020-11-16,361879
2020-11-17,363943
2020-11-18,365887
2020-11-19,368101
2020-11-20,370533
2020-11-21,372629
2020-11-22,374544
2020-11-23,376806
2020-11-24,379088
2020-11-25,381614
2020-11-26,384045
2020-11-27,386590
2020-11-28,388660
2020-11-29,390437
2020-11-30,392669
2020-12-01,395497
2020-12-02,398029
2020-12-03,400334
2020-12-04,403199
2020-12-05,405993
2020-12-06,408408
2020-12-07,411662
2020-12-08,414375
2020-12-09,417852
2020-12-10,421554
2020-12-11,425092
2020-12-12,429005
2020-12-13,432104
2020-12-14,435950
2020-12-15,439987
2020-12-16,444367
2020-12-17,447942
2020-12-18,452327
2020-12-19,456234
2020-12-20,460288
2020-12-21,464431
2020-12-22,468909
2020-12-23,473549
2020-12-24,478156
2020-12-25,481527
2020-12-26,486076
2020-12-27,490160
2020-12-28,495881
2020-12-29,501138
2020-12-30,506314
2020-12-31,510544
2021-01-01,514665
2021-01-02,519334
2021-01-03,525411
2021-01-04,532516
2021-01-05,539561
2021-01-06,545151
2021-01-07,550512
2021-01-08,555877
2021-01-09,561246
2021-01-10,566384
2021-01-11,571230
2021-01-12,577652
2021-01-13,583121
2021-01-14,588302
2021-01-15,592301
2021-01-16,595219
2021-01-17,597382
2021-01-18,600872
2021-01-19,604465
2021-01-20,607805
2021-01-21,610658
2021-01-22,613666
2021-01-23,616179
2021-01-24,618398
2021-01-25,621592
2021-01-26,624296
2021-01-27,626903
2021-01-28,629245
2021-01-29,631097
2021-01-30,632717
2021-01-31,634533
2021-02-01,636711
2021-02-02,638526
2021-02-03,640159
2021-02-04,641825
2021-02-05,643209
2021-02-06,644402
2021-02-07,645577
2021-02-08,646988
2021-02-09,648270
2021-02-10,649477
2021-02-11,650628
2021-02-12,651723
2021-02-13,652852
2021-02-14,653860
2021-02-15,654905
2021-02-16,656057
2021-02-17,656957
2021-02-18,657887
2021-02-19,658768
2021-02-20,659642
2021-02-21,660223
2021-02-22,661035
2021-02-23,661823
2021-02-24,662613
2021-02-25,663349
2021-02-26,664093
2021-02-27,664847
2021-02-28,665690
2021-03-01,666813
2021-03-02,667665
2021-03-03,668330
2021-03-04,669012
2021-03-05,669706
2021-03-06,670348
2021-03-07,670938
2021-03-08,671688
2021-03-09,672398
2021-03-10,673232
2021-03-11,674037
2021-03-12,674791
2021-03-13,675572
2021-03-14,676309
2021-03-15,677293
2021-03-16,678191
2021-03-17,679235
2021-03-18,680460
2021-03-19,681568
2021-03-20,682809
2021-03-21,683826
2021-03-22,685144
2021-03-23,686618
2021-03-24,687994
2021-03-25,689614
2021-03-26,691197
2021-03-27,692717
2021-03-28,694339
2021-03-29,696276
2021-03-30,698051
2021-03-31,699996
2021-04-01,702401
2021-04-02,704268
2021-04-03,706867
2021-04-04,709501
2021-04-05,712993
2021-04-06,716496
2021-04-07,719743
2021-04-08,722895
2021-04-09,726573
2021-04-10,730872
2021-04-11,734264
2021-04-12,738464
2021-04-13,742536
2021-04-14,746837
2021-04-15,751362
2021-04-16,755938
2021-04-17,760480
2021-04-18,764058
2021-04-19,768943
2021-04-20,774170
2021-04-21,778260
2021-04-22,782667
2021-04-23,787098
2021-04-24,790762
2021-04-25,794186
2021-04-26,798418
2021-04-27,802727
2021-04-28,806149
2021-04-29,810582
2021-04-30,815259
2021-05-01,819624
2021-05-02,823540
2021-05-03,829330
2021-05-04,834901
2021-05-05,839660
2021-05-06,845675
2021-05-07,851346
2021-05-08,856838
2021-05-09,862135
2021-05-10,869047
2021-05-11,875465
2021-05-12,881186
2021-05-13,886748
2021-05-14,892393
2021-05-15,898457
2021-05-16,903425
2021-05-17,909285
2021-05-18,916155
2021-05-19,922800
2021-05-20,931189
2021-05-21,939410
2021-05-22,947220
2021-05-23,954590
2021-05-24,963348
2021-05-25,973016
2021-05-26,982230
2021-05-27,990842
2021-05-28,999971
2021-05-29,1008972
2021-05-30,1015740
2021-05-31,1024202
2021-06-01,1034474
2021-06-02,1043969
2021-06-03,1053431
2021-06-04,1063078
2021-06-05,1072299
2021-06-06,1080760
2021-06-07,1089680
2021-06-08,1099718
2021-06-09,1109556
2021-06-10,1118967
2021-06-11,1127776
2021-06-12,1136853
2021-06-13,1144723
2021-06-14,1153679
2021-06-15,1164822
2021-06-16,1174240
2021-06-17,1184713
2021-06-18,1194647
2021-06-19,1204183
2021-06-20,1212986
2021-06-21,1222795
2021-06-22,1232616
2021-06-23,1242535
2021-06-24,1251547
2021-06-25,1262217
2021-06-26,1272438
2021-06-27,1279946
2021-06-28,1288297
2021-06-29,1297086
2021-06-30,1303692
2021-07-01,1308486
2021-07-02,1314578
2021-07-03,1321258
2021-07-04,1327762
2021-07-05,1334603
2021-07-06,1340052
2021-07-07,1345158
2021-07-08,1349331
2021-07-09,1352380
2021-07-10,1356672
2021-07-11,1360484
2021-07-12,1364567
2021-07-13,1369294
2021-07-14,1373538
2021-07-15,1377000
2021-07-16,1380944
2021-07-17,1383914
2021-07-18,1386354
2021-07-19,1389574
2021-07-20,1392263
2021-07-21,1394829
2021-07-22,1396952
2021-07-23,1399122
2021-07-24,1400480
2021-07-25,1400796
2021-07-26,1400796
