Date,Confirmed
2020-02-29,1
2020-03-11,2
2020-03-12,3
2020-03-14,4
2020-03-15,6
2020-03-16,7
2020-03-17,8
2020-03-18,10
2020-03-19,11
2020-03-20,12
2020-03-21,17
2020-03-22,18
2020-03-23,21
2020-03-24,26
2020-03-25,28
2020-03-26,29
2020-03-27,30
2020-03-28,32
2020-03-29,37
2020-03-30,40
2020-03-31,41
2020-04-01,48
2020-04-02,50
2020-04-03,57
2020-04-04,62
2020-04-05,65
2020-04-06,73
2020-04-07,83
2020-04-08,89
2020-04-09,92
2020-04-10,99
2020-04-11,101
2020-04-12,111
2020-04-13,116
2020-04-14,120
2020-04-15,122
2020-04-16,124
2020-04-17,128
2020-04-18,131
2020-04-19,134
2020-04-20,142
2020-04-21,147
2020-04-22,152
2020-04-23,161
2020-04-24,164
2020-04-25,171
2020-04-26,176
2020-04-27,181
2020-04-28,186
2020-04-29,188
2020-04-30,194
2020-05-01,199
2020-05-02,206
2020-05-03,209
2020-05-04,213
2020-05-05,221
2020-05-06,227
2020-05-07,232
2020-05-08,242
2020-05-09,245
2020-05-10,248
2020-05-11,255
2020-05-12,263
2020-05-13,271
2020-05-14,284
2020-05-15,294
2020-05-16,300
2020-05-17,303
2020-05-18,307
2020-05-19,323
2020-05-20,337
2020-05-21,344
2020-05-22,352
2020-05-23,360
2020-05-24,366
2020-05-25,388
2020-05-26,403
2020-05-27,421
2020-05-28,427
2020-05-29,438
2020-05-30,461
2020-05-31,465
2020-06-01,474
2020-06-02,496
2020-06-03,512
2020-06-04,521
2020-06-05,541
2020-06-06,555
2020-06-07,567
2020-06-08,598
2020-06-09,619
2020-06-10,654
2020-06-11,674
2020-06-12,712
2020-06-13,751
2020-06-14,783
2020-06-15,824
2020-06-16,876
2020-06-17,945
2020-06-18,993
2020-06-19,1062
2020-06-20,1155
2020-06-21,1227
2020-06-22,1289
2020-06-23,1388
2020-06-24,1497
2020-06-25,1631
2020-06-26,1763
2020-06-27,1859
2020-06-28,2008
2020-06-29,2097
2020-06-30,2234
2020-07-01,2372
2020-07-02,2493
2020-07-03,2637
2020-07-04,2728
2020-07-05,2774
2020-07-06,2924
2020-07-07,3072
2020-07-08,3232
2020-07-09,3330
2020-07-10,3469
2020-07-11,3563
2020-07-12,3690
2020-07-13,3814
2020-07-14,3950
2020-07-15,4095
2020-07-16,4308
2020-07-17,4429
2020-07-18,4596
2020-07-19,4691
2020-07-20,4808
2020-07-21,4906
2020-07-22,5017
2020-07-23,5179
2020-07-24,5381
2020-07-25,5602
2020-07-26,5746
2020-07-27,5872
2020-07-28,6046
2020-07-29,6248
2020-07-30,6368
2020-07-31,6532
2020-08-01,6686
2020-08-02,6763
2020-08-03,6916
2020-08-04,7061
2020-08-05,7180
2020-08-06,7353
2020-08-07,7448
2020-08-08,7552
2020-08-09,7645
2020-08-10,7736
2020-08-11,7814
2020-08-12,7911
2020-08-13,8024
2020-08-14,8139
2020-08-15,8203
2020-08-16,8259
2020-08-17,8316
2020-08-18,8382
2020-08-19,8488
2020-08-20,8573
2020-08-21,8667
2020-08-22,8720
2020-08-23,8759
2020-08-24,8843
2020-08-25,8912
2020-08-26,9022
2020-08-27,9090
2020-08-28,9170
2020-08-29,9205
2020-08-30,9246
2020-08-31,9319
2020-09-01,9414
2020-09-02,9481
2020-09-03,9560
2020-09-04,9613
2020-09-05,9657
2020-09-06,9700
2020-09-07,9748
2020-09-08,9826
2020-09-09,9875
2020-09-10,9918
2020-09-11,9965
2020-09-12,10003
2020-09-13,10032
2020-09-14,10070
2020-09-15,10118
2020-09-16,10153
2020-09-17,10190
2020-09-18,10262
2020-09-19,10291
2020-09-20,10314
2020-09-21,10394
2020-09-22,10447
2020-09-23,10514
2020-09-24,10575
2020-09-25,10654
2020-09-26,10688
2020-09-27,10703
2020-09-28,10750
2020-09-29,10801
2020-09-30,10848
2020-10-01,10896
2020-10-02,10922
2020-10-03,10952
2020-10-04,10991
2020-10-05,11037
2020-10-06,11059
2020-10-07,11094
2020-10-08,11150
2020-10-09,11183
2020-10-10,11206
2020-10-11,11239
2020-10-12,11277
2020-10-13,11319
2020-10-14,11389
2020-10-15,11454
2020-10-16,11511
2020-10-17,11558
2020-10-18,11603
2020-10-19,11663
2020-10-20,11717
2020-10-21,11759
2020-10-22,11827
2020-10-23,11896
2020-10-24,11941
2020-10-25,11973
2020-10-26,12047
2020-10-27,12113
2020-10-28,12194
2020-10-29,12336
2020-10-30,12461
2020-10-31,12510
2020-11-01,12543
2020-11-02,12597
2020-11-03,12679
2020-11-04,12799
2020-11-05,12917
2020-11-06,13044
2020-11-07,13138
2020-11-08,13188
2020-11-09,13253
2020-11-10,13323
2020-11-11,13461
2020-11-12,13540
2020-11-13,13620
2020-11-14,13653
2020-11-15,13712
2020-11-16,13785
2020-11-17,13896
2020-11-18,14003
2020-11-19,14078
2020-11-20,14203
2020-11-21,14294
2020-11-22,14351
2020-11-23,14436
2020-11-24,14561
2020-11-25,14661
2020-11-26,14798
2020-11-27,14921
2020-11-28,15059
2020-11-29,15121
2020-11-30,15277
2020-12-01,15422
2020-12-02,15547
2020-12-03,15666
2020-12-04,15782
2020-12-05,15866
2020-12-06,16019
2020-12-07,16216
2020-12-08,16292
2020-12-09,16421
2020-12-10,16632
2020-12-11,16743
2020-12-12,16815
2020-12-13,16870
2020-12-14,17014
2020-12-15,17147
2020-12-16,17263
2020-12-17,17343
2020-12-18,17436
2020-12-19,17497
2020-12-20,17587
2020-12-21,17849
2020-12-22,17996
2020-12-23,18172
2020-12-24,18347
2020-12-25,18439
2020-12-26,18522
2020-12-27,18556
2020-12-28,18682
2020-12-29,18834
2020-12-30,18981
2020-12-31,19124
2021-01-01,19252
2021-01-02,19379
2021-01-03,19518
2021-01-04,19735
2021-01-05,19960
2021-01-06,20163
2021-01-07,20324
2021-01-08,20485
2021-01-09,20644
2021-01-10,20774
2021-01-11,20907
2021-01-12,20993
2021-01-13,21105
2021-01-14,21223
2021-01-15,21329
2021-01-16,21391
2021-01-17,21444
2021-01-18,21538
2021-01-19,21635
2021-01-20,21714
2021-01-21,21823
2021-01-22,21938
2021-01-23,21989
2021-01-24,22024
2021-01-25,22094
2021-01-26,22193
2021-01-27,22279
2021-01-28,22372
2021-01-29,22488
2021-01-30,22533
2021-01-31,22610
2021-02-01,22690
2021-02-02,22735
2021-02-03,22791
2021-02-04,22900
2021-02-05,22963
2021-02-06,23029
2021-02-07,23108
2021-02-08,23204
2021-02-09,23267
2021-02-10,23395
2021-02-11,23535
2021-02-12,23592
2021-02-13,23674
2021-02-14,23752
2021-02-15,23914
2021-02-16,24180
2021-02-17,24391
2021-02-18,24658
2021-02-19,24800
2021-02-20,24939
2021-02-21,25008
2021-02-22,25233
2021-02-23,25493
2021-02-24,25775
2021-02-25,25984
2021-02-26,26138
2021-02-27,26248
2021-02-28,26404
2021-03-01,26603
2021-03-02,26816
2021-03-03,27041
2021-03-04,27355
2021-03-05,27697
2021-03-06,27932
2021-03-07,28139
2021-03-08,28448
2021-03-09,28742
2021-03-10,29109
2021-03-11,29524
2021-03-12,29900
2021-03-13,30121
2021-03-14,30610
2021-03-15,30993
2021-03-16,31382
2021-03-17,32030
2021-03-18,32395
2021-03-19,32732
2021-03-20,32986
2021-03-21,33213
2021-03-22,33582
2021-03-23,34023
2021-03-24,34227
2021-03-25,34597
2021-03-26,34999
2021-03-27,35311
2021-03-28,35565
2021-03-29,35882
2021-03-30,36229
2021-03-31,36582
2021-04-01,36843
2021-04-02,37101
2021-04-03,37329
2021-04-04,37602
2021-04-05,38309
2021-04-06,38748
2021-04-07,39075
2021-04-08,39465
2021-04-09,39834
2021-04-10,40110
2021-04-11,40521
2021-04-12,41049
2021-04-13,41527
2021-04-14,41919
2021-04-15,42333
2021-04-16,42665
2021-04-17,42928
2021-04-18,43230
2021-04-19,43676
2021-04-20,43926
2021-04-21,44295
2021-04-22,44628
2021-04-23,44809
2021-04-24,44916
2021-04-25,45079
2021-04-26,45407
2021-04-27,45711
2021-04-28,45903
2021-04-29,46091
2021-04-30,46278
2021-05-01,46435
2021-05-02,46587
2021-05-03,46855
2021-05-04,47090
2021-05-05,47394
2021-05-06,47688
2021-05-07,47924
2021-05-08,48096
2021-05-09,48374
2021-05-10,48721
2021-05-11,49129
2021-05-12,49440
2021-05-13,49767
2021-05-14,49993
2021-05-15,50187
2021-05-16,50393
2021-05-17,50493
2021-05-18,50617
2021-05-19,50674
2021-05-20,50744
2021-05-21,50835
2021-05-22,50895
2021-05-23,50916
2021-05-24,50992
2021-05-25,51105
2021-05-26,51171
2021-05-27,51236
2021-05-28,51322
2021-05-29,51360
2021-05-30,51360
2021-05-31,51370
2021-06-01,51376
2021-06-02,51376
2021-06-03,51376
2021-06-04,51376
2021-06-05,51376
2021-06-06,51376
2021-06-07,51376
2021-06-08,51376
2021-06-09,51376
2021-06-10,51376
2021-06-11,51376
2021-06-12,51376
2021-06-13,51376
2021-06-14,51376
2021-06-15,51376
2021-06-16,51376
2021-06-17,51376
2021-06-18,51376
2021-06-19,51376
2021-06-20,51376
2021-06-21,51376
2021-06-22,51376
2021-06-23,51376
2021-06-24,51376
2021-06-25,51376
2021-06-26,51376
2021-06-27,51376
2021-06-28,51376
2021-06-29,51376
2021-06-30,51376
2021-07-01,51376
2021-07-02,51376
