Date,Confirmed,Infected,Deaths,Recovered
2020-02-27,1,1,0,0
2020-02-28,2,2,0,0
2020-03-01,5,5,0,0
2020-03-04,6,6,0,0
2020-03-05,11,11,0,0
2020-03-06,17,17,0,0
2020-03-07,27,27,0,0
2020-03-08,32,32,0,0
2020-03-09,38,38,0,0
2020-03-10,49,49,0,0
2020-03-11,66,66,0,0
2020-03-12,86,86,0,0
2020-03-13,112,111,0,1
2020-03-14,147,145,0,2
2020-03-15,201,199,0,2
2020-03-16,262,260,0,2
2020-03-17,321,319,0,2
2020-03-18,374,372,0,2
2020-03-19,461,459,0,2
2020-03-20,548,545,0,3
2020-03-21,628,623,0,5
2020-03-22,688,681,0,7
2020-03-23,753,742,0,11
2020-03-24,801,787,0,14
2020-03-25,874,859,1,14
2020-03-26,943,919,3,21
2020-03-27,1023,989,3,31
2020-03-28,1095,1050,6,39
2020-03-29,1158,1103,7,48
2020-03-30,1223,1157,8,58
2020-03-31,1271,1198,10,63
2020-04-01,1360,1271,11,78
2020-04-02,1420,1312,15,93
2020-04-03,1479,1350,20,109
2020-04-04,1572,1427,30,115
2020-04-05,1641,1487,34,120
2020-04-06,1733,1565,40,128
2020-04-07,1790,1613,45,132
2020-04-08,1865,1681,47,137
2020-04-09,1932,1735,51,146
2020-04-10,2035,1824,54,157
2020-04-11,2105,1873,59,173
2020-04-12,2179,1887,60,232
2020-04-13,2245,1902,64,279
2020-04-14,2313,1928,70,315
2020-04-15,2398,1941,73,384
2020-04-16,2519,2022,77,420
2020-04-17,2596,2086,78,432
2020-04-18,2701,2171,80,450
2020-04-19,2783,2233,84,466
2020-04-20,2900,2309,88,503
2020-04-21,2985,2365,94,526
2020-04-22,3061,2390,95,576
2020-04-23,3166,2447,97,622
2020-04-24,3253,2498,101,654
2020-04-25,3355,2554,102,699
2020-04-26,3484,2642,108,734
2020-04-27,3592,2698,111,783
2020-04-28,3736,2796,117,823
2020-04-29,3851,2848,123,880
2020-04-30,3966,2922,131,913
2020-05-01,4182,3063,134,985
2020-05-02,4337,3143,137,1057
2020-05-03,4488,3237,140,1111
2020-05-04,4643,3300,145,1198
2020-05-05,4845,3365,147,1333
2020-05-06,5080,3494,154,1432
2020-05-07,5246,3569,157,1520
2020-05-08,5473,3741,161,1571
2020-05-09,5697,3871,167,1659
