Date,Recovered
2020-02-29,0
2020-03-11,0
2020-03-12,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,1
2020-04-06,2
2020-04-07,3
2020-04-08,5
2020-04-09,5
2020-04-10,6
2020-04-11,7
2020-04-12,7
2020-04-13,8
2020-04-14,8
2020-04-15,9
2020-04-16,12
2020-04-17,16
2020-04-18,21
2020-04-19,21
2020-04-20,22
2020-04-21,23
2020-04-22,23
2020-04-23,27
2020-04-24,28
2020-04-25,28
2020-04-26,29
2020-04-27,29
2020-04-28,30
2020-04-29,31
2020-04-30,35
2020-05-01,38
2020-05-02,49
2020-05-03,50
2020-05-04,54
2020-05-05,59
2020-05-06,63
2020-05-07,68
2020-05-08,70
2020-05-09,74
2020-05-10,76
2020-05-11,82
2020-05-12,82
2020-05-13,86
2020-05-14,94
2020-05-15,96
2020-05-16,102
2020-05-17,106
2020-05-18,106
2020-05-19,107
2020-05-20,111
2020-05-21,113
2020-05-22,116
2020-05-23,116
2020-05-24,119
2020-05-25,128
2020-05-26,133
2020-05-27,134
2020-05-28,143
2020-05-29,146
2020-05-30,148
2020-05-31,185
2020-06-01,188
2020-06-02,202
2020-06-03,206
2020-06-04,210
2020-06-05,225
2020-06-06,233
2020-06-07,239
2020-06-08,246
2020-06-09,250
2020-06-10,261
2020-06-11,267
2020-06-12,275
2020-06-13,281
2020-06-14,284
2020-06-15,289
2020-06-16,297
2020-06-17,311
2020-06-18,313
2020-06-19,323
2020-06-20,331
2020-06-21,340
2020-06-22,353
2020-06-23,366
2020-06-24,380
2020-06-25,389
2020-06-26,399
2020-06-27,407
2020-06-28,421
2020-06-29,432
2020-06-30,450
2020-07-01,467
2020-07-02,478
2020-07-03,484
2020-07-04,492
2020-07-05,497
2020-07-06,514
2020-07-07,535
2020-07-08,554
2020-07-09,572
2020-07-10,593
2020-07-11,614
2020-07-12,629
2020-07-13,658
2020-07-14,686
2020-07-15,718
2020-07-16,783
2020-07-17,821
2020-07-18,872
2020-07-19,960
2020-07-20,1024
2020-07-21,1063
2020-07-22,1105
2020-07-23,1194
2020-07-24,1240
2020-07-25,1377
2020-07-26,1488
2020-07-27,1575
2020-07-28,1737
2020-07-29,1863
2020-07-30,1923
2020-07-31,2022
2020-08-01,2156
2020-08-02,2253
2020-08-03,2288
2020-08-04,2358
2020-08-05,2431
2020-08-06,2659
2020-08-07,2745
2020-08-08,2851
2020-08-09,2960
2020-08-10,3118
2020-08-11,3161
2020-08-12,3239
2020-08-13,3333
2020-08-14,3520
2020-08-15,3795
2020-08-16,4014
2020-08-17,4171
2020-08-18,4270
2020-08-19,4496
2020-08-20,4708
2020-08-21,4859
2020-08-22,4981
2020-08-23,5153
2020-08-24,5293
2020-08-25,5536
2020-08-26,5681
2020-08-27,5756
2020-08-28,5892
2020-08-29,6076
2020-08-30,6213
2020-08-31,6286
2020-09-01,6425
2020-09-02,6499
2020-09-03,6636
2020-09-04,6708
2020-09-05,6798
2020-09-06,6943
2020-09-07,7058
2020-09-08,7139
2020-09-09,7191
2020-09-10,7344
2020-09-11,7426
2020-09-12,7472
2020-09-13,7507
2020-09-14,7574
2020-09-15,7583
2020-09-16,7602
2020-09-17,7617
2020-09-18,7665
2020-09-19,7724
2020-09-20,7759
2020-09-21,7836
2020-09-22,7878
2020-09-23,7965
2020-09-24,8073
2020-09-25,8179
2020-09-26,8255
2020-09-27,8318
2020-09-28,8378
2020-09-29,8465
2020-09-30,8576
2020-10-01,8612
2020-10-02,8629
2020-10-03,8666
2020-10-04,8691
2020-10-05,8692
2020-10-06,8698
2020-10-07,8701
2020-10-08,8715
2020-10-09,8722
2020-10-10,8729
2020-10-11,8769
2020-10-12,8825
2020-10-13,8919
2020-10-14,8992
2020-10-15,9086
2020-10-16,9119
2020-10-17,9167
2020-10-18,9217
2020-10-19,9262
2020-10-20,9305
2020-10-21,9336
2020-10-22,9376
2020-10-23,9453
2020-10-24,9476
2020-10-25,9492
2020-10-26,9525
2020-10-27,9583
2020-10-28,9615
2020-10-29,9642
2020-10-30,9670
2020-10-31,9713
2020-11-01,9784
2020-11-02,9841
2020-11-03,9883
2020-11-04,9971
2020-11-05,10024
2020-11-06,10069
2020-11-07,10114
2020-11-08,10161
2020-11-09,10227
2020-11-10,10270
2020-11-11,10377
2020-11-12,10432
2020-11-13,10454
2020-11-14,10536
2020-11-15,10618
2020-11-16,10740
2020-11-17,10818
2020-11-18,10870
2020-11-19,10905
2020-11-20,10957
2020-11-21,11013
2020-11-22,11095
2020-11-23,11171
2020-11-24,11276
2020-11-25,11330
2020-11-26,11385
2020-11-27,11439
2020-11-28,11544
2020-11-29,11682
2020-11-30,11758
2020-12-01,11841
2020-12-02,11963
2020-12-03,12027
2020-12-04,12081
2020-12-05,12189
2020-12-06,12280
2020-12-07,12382
2020-12-08,12526
2020-12-09,12612
2020-12-10,12706
2020-12-11,12800
2020-12-12,12852
2020-12-13,12883
2020-12-14,12964
2020-12-15,13056
2020-12-16,13160
2020-12-17,13256
2020-12-18,13390
2020-12-19,13507
2020-12-20,13608
2020-12-21,13765
2020-12-22,13883
2020-12-23,13994
2020-12-24,14180
2020-12-25,14366
2020-12-26,14573
2020-12-27,14713
2020-12-28,14874
2020-12-29,14996
2020-12-30,15120
2020-12-31,15181
2021-01-01,15256
2021-01-02,15306
2021-01-03,15379
2021-01-04,15479
2021-01-05,15526
2021-01-06,15579
2021-01-07,15654
2021-01-08,15836
2021-01-09,15944
2021-01-10,16044
2021-01-11,16141
2021-01-12,16323
2021-01-13,16608
2021-01-14,16711
2021-01-15,16798
2021-01-16,16844
2021-01-17,16903
2021-01-18,17116
2021-01-19,17297
2021-01-20,17391
2021-01-21,17582
2021-01-22,17734
2021-01-23,17745
2021-01-24,17824
2021-01-25,18003
2021-01-26,18205
2021-01-27,18331
2021-01-28,18479
2021-01-29,18627
2021-01-30,18762
2021-01-31,18884
2021-02-01,18993
2021-02-02,19133
2021-02-03,19253
2021-02-04,19409
2021-02-05,19426
2021-02-06,19537
2021-02-07,19568
2021-02-08,19704
2021-02-09,19890
2021-02-10,19989
2021-02-11,20078
2021-02-12,20174
2021-02-13,20221
2021-02-14,20331
2021-02-15,20411
2021-02-16,20443
2021-02-17,20485
2021-02-18,20521
2021-02-19,20577
2021-02-20,20678
2021-02-21,20791
2021-02-22,20854
2021-02-23,20906
2021-02-24,20938
2021-02-25,21014
2021-02-26,21038
2021-02-27,21111
2021-02-28,21167
2021-03-01,21221
2021-03-02,21306
2021-03-03,21560
2021-03-04,21810
2021-03-05,21978
2021-03-06,22178
2021-03-07,22423
2021-03-08,22570
2021-03-09,22675
2021-03-10,22843
2021-03-11,23064
2021-03-12,23221
2021-03-13,23369
2021-03-14,23537
2021-03-15,23650
2021-03-16,23740
2021-03-17,23914
2021-03-18,24121
2021-03-19,24359
2021-03-20,24542
2021-03-21,24659
2021-03-22,24988
2021-03-23,25182
2021-03-24,25416
2021-03-25,25801
2021-03-26,26097
2021-03-27,26484
2021-03-28,26788
2021-03-29,27029
2021-03-30,27324
2021-03-31,27599
2021-04-01,27997
2021-04-02,28463
2021-04-03,28800
2021-04-04,29077
2021-04-05,29341
2021-04-06,29970
2021-04-07,30373
2021-04-08,30730
2021-04-09,30947
2021-04-10,31123
2021-04-11,31237
2021-04-12,31535
2021-04-13,31891
2021-04-14,32264
2021-04-15,32607
2021-04-16,32743
2021-04-17,33015
2021-04-18,33270
2021-04-19,33773
2021-04-20,34422
2021-04-21,34835
2021-04-22,35244
2021-04-23,35655
2021-04-24,35992
2021-04-25,36265
2021-04-26,36589
2021-04-27,36940
2021-04-28,37442
2021-04-29,38073
2021-04-30,38582
2021-05-01,39043
2021-05-02,39415
2021-05-03,39773
2021-05-04,39911
2021-05-05,40271
2021-05-06,40711
2021-05-07,40934
2021-05-08,41174
2021-05-09,41419
2021-05-10,41643
2021-05-11,41870
2021-05-12,41984
2021-05-13,42190
2021-05-14,42424
2021-05-15,42662
2021-05-16,43069
2021-05-17,43209
2021-05-18,43509
2021-05-19,43509
2021-05-20,44039
2021-05-21,44297
2021-05-22,44456
2021-05-23,44586
2021-05-24,45042
2021-05-25,45326
2021-05-26,45636
2021-05-27,46009
2021-05-28,46361
2021-05-29,46571
2021-05-30,46711
2021-05-31,46742
2021-06-01,47130
2021-06-02,47421
2021-06-03,48167
2021-06-04,48420
2021-06-05,48518
2021-06-06,48555
2021-06-07,48628
2021-06-08,48735
2021-06-09,48815
2021-06-10,48910
2021-06-11,48993
2021-06-12,49025
2021-06-13,49025
2021-06-14,49025
2021-06-15,49054
2021-06-16,49054
2021-06-17,49056
2021-06-18,49056
2021-06-19,49056
2021-06-20,49056
2021-06-21,49056
2021-06-22,49056
2021-06-23,49056
2021-06-24,49069
2021-06-25,49095
2021-06-26,49115
2021-06-27,49139
2021-06-28,49178
2021-06-29,49190
2021-06-30,49225
2021-07-01,49258
2021-07-02,49283
2021-07-03,49317
2021-07-04,49337
2021-07-05,49361
2021-07-06,49364
2021-07-07,49367
2021-07-08,49370
2021-07-09,49375
2021-07-10,49378
2021-07-11,49379
2021-07-13,49399
2021-07-15,49400
2021-07-16,49420
2021-07-17,49439
2021-07-18,49441
2021-07-19,49457
2021-07-20,49468
