Date,Recovered
2020-02-27,0
2020-02-28,0
2020-03-01,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,1
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,2
2020-03-20,3
2020-03-21,5
2020-03-22,7
2020-03-23,11
2020-03-24,14
2020-03-25,14
2020-03-26,21
2020-03-27,31
2020-03-28,39
2020-03-29,48
2020-03-30,58
2020-03-31,63
2020-04-01,78
2020-04-02,93
2020-04-03,109
2020-04-04,115
2020-04-05,120
2020-04-06,128
2020-04-07,132
2020-04-08,137
2020-04-09,146
2020-04-10,157
2020-04-11,173
2020-04-12,232
2020-04-13,279
2020-04-14,315
2020-04-15,384
2020-04-16,420
2020-04-17,432
2020-04-18,450
2020-04-19,466
2020-04-20,503
2020-04-21,526
2020-04-22,576
2020-04-23,622
2020-04-24,654
2020-04-25,699
2020-04-26,734
2020-04-27,783
2020-04-28,823
2020-04-29,880
2020-04-30,913
2020-05-01,985
2020-05-02,1057
2020-05-03,1111
2020-05-04,1198
2020-05-05,1333
2020-05-06,1432
2020-05-07,1520
2020-05-08,1571
2020-05-09,1659
2020-05-10,1757
2020-05-11,1848
2020-05-12,1902
2020-05-13,2001
2020-05-14,2050
2020-05-15,2129
2020-05-16,2205
2020-05-17,2264
2020-05-18,2336
2020-05-19,2392
2020-05-20,2478
2020-05-21,2578
2020-05-22,2655
2020-05-23,2716
2020-05-24,2850
2020-05-25,2947
2020-05-26,3063
2020-05-27,3192
2020-05-28,3282
2020-05-29,3368
2020-05-30,3446
2020-05-31,3902
2020-06-01,4008
2020-06-02,4378
2020-06-03,4718
2020-06-04,4899
2020-06-05,5169
2020-06-06,5324
2020-06-07,5598
2020-06-08,5841
2020-06-09,6039
2020-06-10,6466
2020-06-11,6673
2020-06-12,6916
2020-06-13,7127
2020-06-14,7303
2020-06-15,7419
2020-06-16,7590
2020-06-17,7873
2020-06-18,8212
2020-06-19,8613
2020-06-20,9114
2020-06-21,9509
2020-06-22,9934
2020-06-23,10282
2020-06-24,10620
2020-06-25,11168
2020-06-26,11553
2020-06-27,11952
2020-06-28,12415
2020-06-29,12821
2020-06-30,13379
2020-07-01,13775
2020-07-02,14048
2020-07-03,14392
2020-07-04,14803
2020-07-05,15174
2020-07-06,15969
2020-07-07,16388
2020-07-08,16849
2020-07-09,17427
2020-07-10,18028
2020-07-11,18573
2020-07-12,19067
2020-07-13,19712
2020-07-14,20317
2020-07-15,21024
2020-07-16,22060
2020-07-17,23079
2020-07-18,24162
2020-07-19,24917
2020-07-20,25726
2020-07-21,26327
2020-07-22,27070
2020-07-23,28545
2020-07-24,30821
2020-07-25,32298
2020-07-26,33816
2020-07-27,36432
2020-07-28,39067
2020-07-29,41044
2020-07-30,42909
2020-07-31,45086
2020-08-01,47771
2020-08-02,50175
2020-08-03,52346
2020-08-04,53926
2020-08-05,55306
2020-08-06,56353
2020-08-07,57873
2020-08-08,59286
2020-08-09,60705
2020-08-10,62929
2020-08-11,67366
2020-08-12,72264
2020-08-13,77095
2020-08-14,79972
2020-08-15,83104
2020-08-16,87290
2020-08-17,91818
2020-08-18,95988
2020-08-19,100415
2020-08-20,103131
2020-08-21,105536
2020-08-22,108579
2020-08-23,114757
2020-08-24,118057
2020-08-25,121326
2020-08-26,124907
2020-08-27,128123
2020-08-28,133140
2020-08-29,137015
2020-08-30,139979
2020-08-31,142304
2020-09-01,146377
2020-09-02,149595
2020-09-03,151424
2020-09-04,152220
2020-09-05,155259
2020-09-06,156437
2020-09-07,158453
2020-09-08,160545
2020-09-09,165552
2020-09-10,168841
2020-09-11,175679
2020-09-12,180527
2020-09-13,182785
2020-09-14,185120
2020-09-15,185657
2020-09-16,186162
2020-09-17,188024
2020-09-18,191521
2020-09-19,192581
2020-09-20,193432
2020-09-21,196301
2020-09-22,201766
2020-09-23,203991
2020-09-24,208097
2020-09-25,212017
2020-09-26,215475
2020-09-27,218059
2020-09-28,220048
2020-09-29,220949
2020-09-30,222403
2020-10-01,223907
2020-10-02,224209
2020-10-03,224710
2020-10-04,225172
2020-10-05,229296
2020-10-06,233039
2020-10-07,234812
2020-10-08,236381
2020-10-09,237686
2020-10-10,238947
2020-10-11,239307
2020-10-12,239920
2020-10-13,240702
2020-10-14,242801
2020-10-15,245643
2020-10-16,248236
2020-10-17,250133
2020-10-18,251489
2020-10-19,252395
2020-10-20,253143
2020-10-21,254340
2020-10-22,255601
2020-10-23,256854
2020-10-24,257563
2020-10-25,261164
2020-10-26,263876
2020-10-27,267602
2020-10-28,268919
2020-10-29,269607
2020-10-30,272490
2020-10-31,273958
2020-11-01,274664
2020-11-02,276426
2020-11-03,277239
2020-11-04,279688
2020-11-05,283322
2020-11-06,285203
2020-11-07,286121
2020-11-08,287061
2020-11-09,287167
2020-11-10,293417
2020-11-11,296419
2020-11-12,298198
2020-11-13,299569
2020-11-14,301489
2020-11-15,303101
2020-11-16,303910
2020-11-17,305554
2020-11-18,306967
2020-11-19,308214
2020-11-20,309501
2020-11-21,310691
2020-11-22,311870
2020-11-23,314326
2020-11-24,318548
2020-11-25,320272
2020-11-26,322728
2020-11-27,323964
2020-11-28,324581
2020-11-29,325385
2020-11-30,326465
2020-12-01,328020
2020-12-02,329882
2020-12-03,331567
2020-12-04,333917
2020-12-05,336027
2020-12-06,338177
2020-12-07,341766
2020-12-08,342694
2020-12-09,345938
2020-12-10,348071
2020-12-11,349922
2020-12-12,351491
2020-12-13,352963
2020-12-14,354536
2020-12-15,355720
2020-12-16,357717
2020-12-17,360745
2020-12-18,362709
2020-12-19,364783
2020-12-20,373409
2020-12-21,376230
2020-12-22,379953
2020-12-23,381692
2020-12-24,385688
2020-12-25,388337
2020-12-26,392796
2020-12-27,395410
2020-12-28,396471
2020-12-29,397981
2020-12-30,401926
2020-12-31,405548
2021-01-01,409639
2021-01-02,412856
2021-01-03,415370
2021-01-04,416503
2021-01-05,419872
2021-01-06,424454
2021-01-07,426838
2021-01-08,432541
2021-01-09,436087
2021-01-10,437377
2021-01-11,439980
2021-01-12,445244
2021-01-13,449528
2021-01-14,456506
2021-01-15,462348
2021-01-16,466571
2021-01-17,469453
2021-01-18,478805
2021-01-19,482900
2021-01-20,488781
2021-01-21,493611
2021-01-22,495235
2021-01-23,499009
2021-01-24,502186
2021-01-25,510857
2021-01-26,514020
2021-01-27,519657
2021-01-28,523182
2021-01-29,526414
2021-01-30,532417
2021-01-31,538316
2021-02-01,545007
2021-02-02,546941
2021-02-03,552734
2021-02-04,557870
2021-02-05,561844
2021-02-06,564682
2021-02-07,567647
2021-02-08,569111
2021-02-09,574448
2021-02-10,577183
2021-02-11,579252
2021-02-12,581126
2021-02-13,582842
2021-02-14,584399
2021-02-15,586824
2021-02-16,588437
2021-02-17,589987
2021-02-18,592610
2021-02-19,594054
2021-02-20,595355
2021-02-21,596302
2021-02-22,598053
2021-02-23,600013
2021-02-24,601671
2021-02-25,603742
2021-02-26,605413
2021-02-27,607106
2021-02-28,608311
2021-03-01,609363
2021-03-02,610445
2021-03-03,611301
2021-03-04,612177
2021-03-05,613001
2021-03-06,614010
2021-03-07,615663
2021-03-08,616541
2021-03-09,617288
2021-03-10,618076
2021-03-11,618846
2021-03-12,619616
2021-03-13,620666
2021-03-14,621264
2021-03-15,622064
2021-03-16,622836
2021-03-17,623532
2021-03-18,624320
2021-03-19,625365
2021-03-20,626326
