Date,Confirmed,Infected,Deaths,Recovered
2020-02-29,1,1,0,0
2020-03-11,2,2,0,0
2020-03-12,3,3,0,0
2020-03-14,4,4,0,0
2020-03-15,6,6,0,0
2020-03-16,7,7,0,0
2020-03-17,8,8,0,0
2020-03-18,10,10,0,0
2020-03-19,11,11,0,0
2020-03-20,12,12,0,0
2020-03-21,17,17,0,0
2020-03-22,18,18,0,0
2020-03-23,21,20,1,0
2020-03-24,26,25,1,0
2020-03-25,28,27,1,0
2020-03-26,29,28,1,0
2020-03-27,30,29,1,0
2020-03-28,32,30,2,0
2020-03-29,37,35,2,0
2020-03-30,40,38,2,0
2020-03-31,41,39,2,0
2020-04-01,48,46,2,0
2020-04-02,50,48,2,0
2020-04-03,57,55,2,0
2020-04-04,62,60,2,0
2020-04-05,65,61,3,1
2020-04-06,73,68,3,2
2020-04-07,83,76,4,3
2020-04-08,89,79,5,5
2020-04-09,92,81,6,5
2020-04-10,99,87,6,6
2020-04-11,101,88,6,7
2020-04-12,111,96,8,7
2020-04-13,116,100,8,8
2020-04-14,120,104,8,8
2020-04-15,122,105,8,9
2020-04-16,124,104,8,12
2020-04-17,128,104,8,16
2020-04-18,131,100,10,21
2020-04-19,134,103,10,21
2020-04-20,142,110,10,22
2020-04-21,147,114,10,23
2020-04-22,152,118,11,23
2020-04-23,161,122,12,27
2020-04-24,164,124,12,28
2020-04-25,171,131,12,28
2020-04-26,176,133,14,29
2020-04-27,181,138,14,29
2020-04-28,186,142,14,30
2020-04-29,188,143,14,31
2020-04-30,194,144,15,35
2020-05-01,199,146,15,38
2020-05-02,206,141,16,49
2020-05-03,209,143,16,50
2020-05-04,213,141,18,54
2020-05-05,221,143,19,59
2020-05-06,227,145,19,63
2020-05-07,232,144,20,68
2020-05-08,242,152,20,70
2020-05-09,245,150,21,74
2020-05-10,248,151,21,76
2020-05-11,255,152,21,82
2020-05-12,263,160,21,82
2020-05-13,271,164,21,86
2020-05-14,284,169,21,94
2020-05-15,294,177,21,96
2020-05-16,300,177,21,102
2020-05-17,303,176,21,106
2020-05-18,307,180,21,106
2020-05-19,323,195,21,107
2020-05-20,337,205,21,111
2020-05-21,344,210,21,113
2020-05-22,352,215,21,116
2020-05-23,360,221,23,116
2020-05-24,366,224,23,119
2020-05-25,388,237,23,128
2020-05-26,403,247,23,133
2020-05-27,421,264,23,134
2020-05-28,427,261,23,143
2020-05-29,438,268,24,146
2020-05-30,461,289,24,148
2020-05-31,465,256,24,185
2020-06-01,474,262,24,188
2020-06-02,496,269,25,202
2020-06-03,512,281,25,206
2020-06-04,521,286,25,210
2020-06-05,541,291,25,225
2020-06-06,555,297,25,233
2020-06-07,567,303,25,239
2020-06-08,598,327,25,246
2020-06-09,619,344,25,250
2020-06-10,654,365,28,261
2020-06-11,674,377,30,267
2020-06-12,712,406,31,275
2020-06-13,751,439,31,281
2020-06-14,783,465,34,284
2020-06-15,824,500,35,289
2020-06-16,876,541,38,297
2020-06-17,945,594,40,311
2020-06-18,993,635,45,313
2020-06-19,1062,692,47,323
2020-06-20,1155,776,48,331
2020-06-21,1227,838,49,340
2020-06-22,1289,885,51,353
2020-06-23,1388,969,53,366
2020-06-24,1497,1061,56,380
2020-06-25,1631,1183,59,389
2020-06-26,1763,1302,62,399
2020-06-27,1859,1388,64,407
2020-06-28,2008,1520,67,421
2020-06-29,2097,1596,69,432
2020-06-30,2234,1711,73,450
2020-07-01,2372,1823,82,467
2020-07-02,2493,1926,89,478
2020-07-03,2637,2060,93,484
2020-07-04,2728,2142,94,492
2020-07-05,2774,2176,101,497
2020-07-06,2924,2301,109,514
2020-07-07,3072,2426,111,535
2020-07-08,3232,2561,117,554
2020-07-09,3330,2635,123,572
2020-07-10,3469,2751,125,593
2020-07-11,3563,2813,136,614
2020-07-12,3690,2921,140,629
2020-07-13,3814,3015,141,658
2020-07-14,3950,3120,144,686
2020-07-15,4095,3227,150,718
2020-07-16,4308,3367,158,783
2020-07-17,4429,3443,165,821
2020-07-18,4596,3552,172,872
2020-07-19,4691,3555,176,960
2020-07-20,4808,3605,179,1024
2020-07-21,4906,3655,188,1063
2020-07-22,5017,3719,193,1105
2020-07-23,5179,3788,197,1194
2020-07-24,5381,3938,203,1240
2020-07-25,5602,4016,209,1377
2020-07-26,5746,4045,213,1488
2020-07-27,5872,4077,220,1575
2020-07-28,6046,4081,228,1737
2020-07-29,6248,4151,234,1863
2020-07-30,6368,4205,240,1923
2020-07-31,6532,4262,248,2022
2020-08-01,6686,4277,253,2156
2020-08-02,6763,4254,256,2253
2020-08-03,6916,4362,266,2288
2020-08-04,7061,4433,270,2358
2020-08-05,7180,4471,278,2431
2020-08-06,7353,4412,282,2659
2020-08-07,7448,4418,285,2745
2020-08-08,7552,4409,292,2851
2020-08-09,7645,4390,295,2960
2020-08-10,7736,4315,303,3118
2020-08-11,7814,4342,311,3161
2020-08-12,7911,4357,315,3239
2020-08-13,8024,4368,323,3333
2020-08-14,8139,4290,329,3520
2020-08-15,8203,4072,336,3795
2020-08-16,8259,3901,344,4014
2020-08-17,8316,3796,349,4171
2020-08-18,8382,3760,352,4270
2020-08-19,8488,3635,357,4496
2020-08-20,8573,3506,359,4708
2020-08-21,8667,3442,366,4859
2020-08-22,8720,3368,371,4981
2020-08-23,8759,3232,374,5153
2020-08-24,8843,3168,382,5293
2020-08-25,8912,2990,386,5536
2020-08-26,9022,2949,392,5681
2020-08-27,9090,2935,399,5756
2020-08-28,9170,2872,406,5892
2020-08-29,9205,2722,407,6076
2020-08-30,9246,2624,409,6213
2020-08-31,9319,2618,415,6286
2020-09-01,9414,2573,416,6425
2020-09-02,9481,2564,418,6499
2020-09-03,9560,2500,424,6636
2020-09-04,9613,2476,429,6708
2020-09-05,9657,2427,432,6798
2020-09-06,9700,2319,438,6943
2020-09-07,9748,2249,441,7058
2020-09-08,9826,2244,443,7139
2020-09-09,9875,2241,443,7191
2020-09-10,9918,2130,444,7344
2020-09-11,9965,2093,446,7426
2020-09-12,10003,2084,447,7472
2020-09-13,10032,2078,447,7507
2020-09-14,10070,2045,451,7574
2020-09-15,10118,2082,453,7583
2020-09-16,10153,2095,456,7602
2020-09-17,10190,2114,459,7617
2020-09-18,10262,2134,463,7665
2020-09-19,10291,2102,465,7724
2020-09-20,10314,2087,468,7759
2020-09-21,10394,2088,470,7836
2020-09-22,10447,2097,472,7878
2020-09-23,10514,2076,473,7965
2020-09-24,10575,2029,473,8073
2020-09-25,10654,2001,474,8179
2020-09-26,10688,1955,478,8255
2020-09-27,10703,1903,482,8318
2020-09-28,10750,1889,483,8378
2020-09-29,10801,1853,483,8465
2020-09-30,10848,1787,485,8576
2020-10-01,10896,1799,485,8612
2020-10-02,10922,1806,487,8629
2020-10-03,10952,1797,489,8666
2020-10-04,10991,1810,490,8691
2020-10-05,11037,1853,492,8692
2020-10-06,11059,1868,493,8698
2020-10-07,11094,1900,493,8701
2020-10-08,11150,1942,493,8715
2020-10-09,11183,1968,493,8722
2020-10-10,11206,1984,493,8729
2020-10-11,11239,1976,494,8769
2020-10-12,11277,1958,494,8825
2020-10-13,11319,1903,497,8919
2020-10-14,11389,1897,500,8992
2020-10-15,11454,1867,501,9086
2020-10-16,11511,1891,501,9119
2020-10-17,11558,1889,502,9167
2020-10-18,11603,1884,502,9217
2020-10-19,11663,1898,503,9262
2020-10-20,11717,1908,504,9305
2020-10-21,11759,1919,504,9336
2020-10-22,11827,1945,506,9376
2020-10-23,11896,1936,507,9453
2020-10-24,11941,1958,507,9476
2020-10-25,11973,1974,507,9492
2020-10-26,12047,2014,508,9525
2020-10-27,12113,2021,509,9583
2020-10-28,12194,2069,510,9615
2020-10-29,12336,2184,510,9642
2020-10-30,12461,2281,510,9670
2020-10-31,12510,2287,510,9713
2020-11-01,12543,2249,510,9784
2020-11-02,12597,2245,511,9841
2020-11-03,12679,2285,511,9883
2020-11-04,12799,2317,511,9971
2020-11-05,12917,2381,512,10024
2020-11-06,13044,2461,514,10069
2020-11-07,13138,2508,516,10114
2020-11-08,13188,2509,518,10161
2020-11-09,13253,2507,519,10227
2020-11-10,13323,2532,521,10270
2020-11-11,13461,2563,521,10377
2020-11-12,13540,2584,524,10432
2020-11-13,13620,2642,524,10454
2020-11-14,13653,2591,526,10536
2020-11-15,13712,2567,527,10618
2020-11-16,13785,2517,528,10740
2020-11-17,13896,2548,530,10818
2020-11-18,14003,2602,531,10870
2020-11-19,14078,2638,535,10905
2020-11-20,14203,2710,536,10957
2020-11-21,14294,2744,537,11013
2020-11-22,14351,2719,537,11095
2020-11-23,14436,2728,537,11171
2020-11-24,14561,2746,539,11276
2020-11-25,14661,2788,543,11330
2020-11-26,14798,2870,543,11385
2020-11-27,14921,2938,544,11439
2020-11-28,15059,2967,548,11544
2020-11-29,15121,2888,551,11682
2020-11-30,15277,2965,554,11758
2020-12-01,15422,3026,555,11841
2020-12-02,15547,3028,556,11963
2020-12-03,15666,3081,558,12027
2020-12-04,15782,3143,558,12081
2020-12-05,15866,3117,560,12189
2020-12-06,16019,3178,561,12280
2020-12-07,16216,3271,563,12382
2020-12-08,16292,3202,564,12526
2020-12-09,16421,3243,566,12612
2020-12-10,16632,3359,567,12706
2020-12-11,16743,3376,567,12800
2020-12-12,16815,3393,570,12852
2020-12-13,16870,3415,572,12883
2020-12-14,17014,3474,576,12964
2020-12-15,17147,3511,580,13056
2020-12-16,17263,3523,580,13160
2020-12-17,17343,3503,584,13256
2020-12-18,17436,3461,585,13390
2020-12-19,17497,3403,587,13507
2020-12-20,17587,3388,591,13608
2020-12-21,17849,3487,597,13765
2020-12-22,17996,3514,599,13883
2020-12-23,18172,3577,601,13994
2020-12-24,18347,3565,602,14180
2020-12-25,18439,3470,603,14366
2020-12-26,18522,3344,605,14573
2020-12-27,18556,3237,606,14713
2020-12-28,18682,3201,607,14874
2020-12-29,18834,3228,610,14996
2020-12-30,18981,3247,614,15120
2020-12-31,19124,3326,617,15181
2021-01-01,19252,3375,621,15256
2021-01-02,19379,3449,624,15306
2021-01-03,19518,3509,630,15379
2021-01-04,19735,3624,632,15479
2021-01-05,19960,3798,636,15526
2021-01-06,20163,3948,636,15579
2021-01-07,20324,4030,640,15654
2021-01-08,20485,4008,641,15836
2021-01-09,20644,4056,644,15944
2021-01-10,20774,4085,645,16044
2021-01-11,20907,4117,649,16141
2021-01-12,20993,4021,649,16323
2021-01-13,21105,3846,651,16608
2021-01-14,21223,3858,654,16711
2021-01-15,21329,3872,659,16798
2021-01-16,21391,3887,660,16844
2021-01-17,21444,3878,663,16903
2021-01-18,21538,3758,664,17116
2021-01-19,21635,3674,664,17297
2021-01-20,21714,3657,666,17391
2021-01-21,21823,3573,668,17582
2021-01-22,21938,3532,672,17734
2021-01-23,21989,3572,672,17745
2021-01-24,22024,3526,674,17824
2021-01-25,22094,3417,674,18003
2021-01-26,22193,3311,677,18205
2021-01-27,22279,3270,678,18331
2021-01-28,22372,3211,682,18479
2021-01-29,22488,3179,682,18627
2021-01-30,22533,3088,683,18762
2021-01-31,22610,3043,683,18884
2021-02-01,22690,3010,687,18993
2021-02-02,22735,2912,690,19133
2021-02-03,22791,2845,693,19253
2021-02-04,22900,2796,695,19409
2021-02-05,22963,2839,698,19426
2021-02-06,23029,2791,701,19537
2021-02-07,23108,2837,703,19568
2021-02-08,23204,2795,705,19704
2021-02-09,23267,2670,707,19890
2021-02-10,23395,2697,709,19989
2021-02-11,23535,2746,711,20078
2021-02-12,23592,2705,713,20174
2021-02-13,23674,2739,714,20221
2021-02-14,23752,2705,716,20331
2021-02-15,23914,2784,719,20411
2021-02-16,24180,3017,720,20443
2021-02-17,24391,3185,721,20485
2021-02-18,24658,3415,722,20521
2021-02-19,24800,3499,724,20577
2021-02-20,24939,3533,728,20678
2021-02-21,25008,3487,730,20791
2021-02-22,25233,3646,733,20854
2021-02-23,25493,3852,735,20906
2021-02-24,25775,4101,736,20938
2021-02-25,25984,4230,740,21014
2021-02-26,26138,4358,742,21038
2021-02-27,26248,4393,744,21111
2021-02-28,26404,4489,748,21167
2021-03-01,26603,4633,749,21221
2021-03-02,26816,4757,753,21306
2021-03-03,27041,4723,758,21560
2021-03-04,27355,4784,761,21810
2021-03-05,27697,4952,767,21978
2021-03-06,27932,4978,776,22178
2021-03-07,28139,4937,779,22423
2021-03-08,28448,5097,781,22570
2021-03-09,28742,5281,786,22675
2021-03-10,29109,5474,792,22843
2021-03-11,29524,5667,793,23064
2021-03-12,29900,5884,795,23221
2021-03-13,30121,5949,803,23369
2021-03-14,30610,6261,812,23537
2021-03-15,30993,6523,820,23650
2021-03-16,31382,6816,826,23740
2021-03-17,32030,7281,835,23914
2021-03-18,32395,7433,841,24121
2021-03-19,32732,7527,846,24359
2021-03-20,32986,7588,856,24542
2021-03-21,33213,7690,864,24659
2021-03-22,33582,7714,880,24988
2021-03-23,34023,7954,887,25182
2021-03-24,34227,7917,894,25416
2021-03-25,34597,7889,907,25801
2021-03-26,34999,7984,918,26097
2021-03-27,35311,7902,925,26484
2021-03-28,35565,7842,935,26788
2021-03-29,35882,7909,944,27029
2021-03-30,36229,7952,953,27324
2021-03-31,36582,8016,967,27599
2021-04-01,36843,7874,972,27997
2021-04-02,37101,7658,980,28463
2021-04-03,37329,7535,994,28800
2021-04-04,37602,7508,1017,29077
2021-04-05,38309,7932,1036,29341
2021-04-06,38748,7731,1047,29970
2021-04-07,39075,7643,1059,30373
2021-04-08,39465,7661,1074,30730
2021-04-09,39834,7803,1084,30947
2021-04-10,40110,7889,1098,31123
2021-04-11,40521,8173,1111,31237
2021-04-12,41049,8386,1128,31535
2021-04-13,41527,8492,1144,31891
2021-04-14,41919,8494,1161,32264
