N,Date,Country,Province,Confirmed,Infected,Deaths,Recovered
0,2020-02-29,StaMarta,StaMarta,1,1,0,0
1,2020-03-11,StaMarta,StaMarta,2,2,0,0
2,2020-03-12,StaMarta,StaMarta,3,3,0,0
3,2020-03-14,StaMarta,StaMarta,4,4,0,0
4,2020-03-15,StaMarta,StaMarta,6,6,0,0
5,2020-03-16,StaMarta,StaMarta,7,7,0,0
6,2020-03-17,StaMarta,StaMarta,8,8,0,0
7,2020-03-18,StaMarta,StaMarta,10,10,0,0
8,2020-03-19,StaMarta,StaMarta,11,11,0,0
9,2020-03-20,StaMarta,StaMarta,12,12,0,0
10,2020-03-21,StaMarta,StaMarta,17,17,0,0
11,2020-03-22,StaMarta,StaMarta,18,18,0,0
12,2020-03-23,StaMarta,StaMarta,21,20,1,0
13,2020-03-24,StaMarta,StaMarta,26,25,1,0
14,2020-03-25,StaMarta,StaMarta,28,27,1,0
15,2020-03-26,StaMarta,StaMarta,29,28,1,0
16,2020-03-27,StaMarta,StaMarta,30,29,1,0
17,2020-03-28,StaMarta,StaMarta,32,30,2,0
18,2020-03-29,StaMarta,StaMarta,37,35,2,0
19,2020-03-30,StaMarta,StaMarta,40,38,2,0
20,2020-03-31,StaMarta,StaMarta,41,39,2,0
21,2020-04-01,StaMarta,StaMarta,48,46,2,0
22,2020-04-02,StaMarta,StaMarta,50,48,2,0
23,2020-04-03,StaMarta,StaMarta,57,55,2,0
24,2020-04-04,StaMarta,StaMarta,62,60,2,0
25,2020-04-05,StaMarta,StaMarta,65,61,3,1
26,2020-04-06,StaMarta,StaMarta,73,68,3,2
27,2020-04-07,StaMarta,StaMarta,83,76,4,3
28,2020-04-08,StaMarta,StaMarta,89,79,5,5
29,2020-04-09,StaMarta,StaMarta,92,81,6,5
30,2020-04-10,StaMarta,StaMarta,99,87,6,6
31,2020-04-11,StaMarta,StaMarta,101,88,6,7
32,2020-04-12,StaMarta,StaMarta,111,96,8,7
33,2020-04-13,StaMarta,StaMarta,116,100,8,8
34,2020-04-14,StaMarta,StaMarta,120,104,8,8
35,2020-04-15,StaMarta,StaMarta,122,105,8,9
36,2020-04-16,StaMarta,StaMarta,124,104,8,12
37,2020-04-17,StaMarta,StaMarta,128,104,8,16
38,2020-04-18,StaMarta,StaMarta,131,100,10,21
39,2020-04-19,StaMarta,StaMarta,134,103,10,21
40,2020-04-20,StaMarta,StaMarta,142,110,10,22
41,2020-04-21,StaMarta,StaMarta,147,114,10,23
42,2020-04-22,StaMarta,StaMarta,152,118,11,23
43,2020-04-23,StaMarta,StaMarta,161,122,12,27
44,2020-04-24,StaMarta,StaMarta,164,124,12,28
45,2020-04-25,StaMarta,StaMarta,171,131,12,28
46,2020-04-26,StaMarta,StaMarta,176,133,14,29
47,2020-04-27,StaMarta,StaMarta,181,138,14,29
48,2020-04-28,StaMarta,StaMarta,186,142,14,30
49,2020-04-29,StaMarta,StaMarta,188,143,14,31
50,2020-04-30,StaMarta,StaMarta,194,144,15,35
51,2020-05-01,StaMarta,StaMarta,199,146,15,38
52,2020-05-02,StaMarta,StaMarta,206,141,16,49
53,2020-05-03,StaMarta,StaMarta,209,143,16,50
54,2020-05-04,StaMarta,StaMarta,213,141,18,54
55,2020-05-05,StaMarta,StaMarta,221,143,19,59
56,2020-05-06,StaMarta,StaMarta,227,145,19,63
57,2020-05-07,StaMarta,StaMarta,232,144,20,68
58,2020-05-08,StaMarta,StaMarta,242,152,20,70
59,2020-05-09,StaMarta,StaMarta,245,150,21,74
60,2020-05-10,StaMarta,StaMarta,248,151,21,76
61,2020-05-11,StaMarta,StaMarta,255,152,21,82
62,2020-05-12,StaMarta,StaMarta,263,160,21,82
63,2020-05-13,StaMarta,StaMarta,271,164,21,86
64,2020-05-14,StaMarta,StaMarta,284,169,21,94
65,2020-05-15,StaMarta,StaMarta,294,177,21,96
66,2020-05-16,StaMarta,StaMarta,300,177,21,102
67,2020-05-17,StaMarta,StaMarta,303,176,21,106
68,2020-05-18,StaMarta,StaMarta,307,180,21,106
69,2020-05-19,StaMarta,StaMarta,323,195,21,107
70,2020-05-20,StaMarta,StaMarta,337,205,21,111
71,2020-05-21,StaMarta,StaMarta,344,210,21,113
72,2020-05-22,StaMarta,StaMarta,352,215,21,116
73,2020-05-23,StaMarta,StaMarta,360,221,23,116
74,2020-05-24,StaMarta,StaMarta,366,224,23,119
75,2020-05-25,StaMarta,StaMarta,388,237,23,128
76,2020-05-26,StaMarta,StaMarta,403,247,23,133
77,2020-05-27,StaMarta,StaMarta,421,264,23,134
78,2020-05-28,StaMarta,StaMarta,427,261,23,143
79,2020-05-29,StaMarta,StaMarta,438,268,24,146
80,2020-05-30,StaMarta,StaMarta,461,289,24,148
81,2020-05-31,StaMarta,StaMarta,465,256,24,185
82,2020-06-01,StaMarta,StaMarta,474,262,24,188
83,2020-06-02,StaMarta,StaMarta,496,269,25,202
84,2020-06-03,StaMarta,StaMarta,512,281,25,206
85,2020-06-04,StaMarta,StaMarta,521,286,25,210
86,2020-06-05,StaMarta,StaMarta,541,291,25,225
87,2020-06-06,StaMarta,StaMarta,555,297,25,233
88,2020-06-07,StaMarta,StaMarta,567,303,25,239
89,2020-06-08,StaMarta,StaMarta,598,327,25,246
90,2020-06-09,StaMarta,StaMarta,619,344,25,250
91,2020-06-10,StaMarta,StaMarta,654,365,28,261
92,2020-06-11,StaMarta,StaMarta,674,377,30,267
93,2020-06-12,StaMarta,StaMarta,712,406,31,275
94,2020-06-13,StaMarta,StaMarta,751,439,31,281
95,2020-06-14,StaMarta,StaMarta,783,465,34,284
96,2020-06-15,StaMarta,StaMarta,824,500,35,289
97,2020-06-16,StaMarta,StaMarta,876,541,38,297
98,2020-06-17,StaMarta,StaMarta,945,594,40,311
99,2020-06-18,StaMarta,StaMarta,993,635,45,313
100,2020-06-19,StaMarta,StaMarta,1062,692,47,323
101,2020-06-20,StaMarta,StaMarta,1155,776,48,331
102,2020-06-21,StaMarta,StaMarta,1227,838,49,340
103,2020-06-22,StaMarta,StaMarta,1289,885,51,353
104,2020-06-23,StaMarta,StaMarta,1388,969,53,366
105,2020-06-24,StaMarta,StaMarta,1497,1061,56,380
106,2020-06-25,StaMarta,StaMarta,1631,1183,59,389
107,2020-06-26,StaMarta,StaMarta,1763,1302,62,399
108,2020-06-27,StaMarta,StaMarta,1859,1388,64,407
109,2020-06-28,StaMarta,StaMarta,2008,1520,67,421
110,2020-06-29,StaMarta,StaMarta,2097,1596,69,432
111,2020-06-30,StaMarta,StaMarta,2234,1711,73,450
112,2020-07-01,StaMarta,StaMarta,2372,1823,82,467
113,2020-07-02,StaMarta,StaMarta,2493,1926,89,478
114,2020-07-03,StaMarta,StaMarta,2637,2060,93,484
115,2020-07-04,StaMarta,StaMarta,2728,2142,94,492
116,2020-07-05,StaMarta,StaMarta,2774,2176,101,497
117,2020-07-06,StaMarta,StaMarta,2924,2301,109,514
118,2020-07-07,StaMarta,StaMarta,3072,2426,111,535
119,2020-07-08,StaMarta,StaMarta,3232,2561,117,554
120,2020-07-09,StaMarta,StaMarta,3330,2635,123,572
121,2020-07-10,StaMarta,StaMarta,3469,2751,125,593
122,2020-07-11,StaMarta,StaMarta,3563,2813,136,614
123,2020-07-12,StaMarta,StaMarta,3690,2921,140,629
124,2020-07-13,StaMarta,StaMarta,3814,3015,141,658
125,2020-07-14,StaMarta,StaMarta,3950,3120,144,686
126,2020-07-15,StaMarta,StaMarta,4095,3227,150,718
127,2020-07-16,StaMarta,StaMarta,4308,3367,158,783
128,2020-07-17,StaMarta,StaMarta,4429,3443,165,821
129,2020-07-18,StaMarta,StaMarta,4596,3552,172,872
130,2020-07-19,StaMarta,StaMarta,4691,3555,176,960
131,2020-07-20,StaMarta,StaMarta,4808,3605,179,1024
132,2020-07-21,StaMarta,StaMarta,4906,3655,188,1063
